index,id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes
1116,tm587320,El Mago Pop,MOVIE,2013,,44,"['reality', 'european']",US,,tt3355166,6.8,21
1117,tm160034,Humpty Sharma Ki Dulhania,MOVIE,2014,PG,133,"['drama', 'comedy', 'romance']",US,,tt3678938,6,12757
1118,tm158436,Print the Legend,MOVIE,2014,,100,"['documentation', 'drama', 'history']",GB,,tt3703872,7,1967
1119,tm172027,The Butterfly's Dream,MOVIE,2013,PG-13,138,"['drama', 'history', 'romance']",GB,,tt2882532,7.8,21882
1120,tm146657,Jeff Dunham: All Over the Map,MOVIE,2014,PG-13,41,['comedy'],US,,tt4209802,7.1,854
1121,ts82860,Against the Tide,SHOW,2014,TV-14,44,['drama'],GB,1,tt7131682,7.6,11
1122,tm159819,Bride for Rent,MOVIE,2014,,115,"['comedy', 'romance']",US,,tt3469386,6.4,584
1123,tm183805,Ghanchakkar,MOVIE,2013,PG,137,"['thriller', 'crime', 'comedy']",US,,tt2246724,5.8,5019
1124,tm458034,BoJack Horseman Christmas Special,MOVIE,2014,,25,[],US,,,,
1125,tm175954,Aziz Ansari: Buried Alive,MOVIE,2013,,79,"['comedy', 'documentation']",US,,tt2836450,7.2,3980
1126,tm182227,Marc Maron: Thinky Pain,MOVIE,2013,,90,['comedy'],US,,tt3004634,7.3,1876
1127,tm159094,Naan Sigappu Manithan,MOVIE,2014,,161,"['drama', 'thriller', 'action']",US,,tt3569788,6.5,1081
1128,ts36127,Turbo FAST,SHOW,2013,TV-PG,19,"['animation', 'family', 'comedy', 'sport', 'scifi', 'action']",US,3,tt3010520,6.5,593
1129,tm157609,Born in Gaza,MOVIE,2014,,69,"['documentation', 'european']",GB,,tt4205416,7.4,492
1130,tm179328,Romantik Komedi 2: Bekarlığa Veda,MOVIE,2013,,105,"['romance', 'comedy']",GB,,tt2645104,5.1,3357
1131,tm151860,Free to Play,MOVIE,2014,,75,"['documentation', 'action']",US,,tt3203290,7.9,13308
1132,tm139922,"The Other One: The Long, Strange Trip of Bob Weir",MOVIE,2014,,85,"['music', 'documentation']",GB,,tt3692768,7.3,1649
1133,tm184511,Inkaar,MOVIE,2013,R,133,"['drama', 'romance', 'thriller']",US,,tt2094854,6.2,2565
1134,ts67797,Sammy & Co,SHOW,2014,TV-PG,14,"['animation', 'european']",US,2,tt2580128,5.6,30
